,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT3,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,df_pay
122,110000,2,1,1,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,310000,2,2,1,35,2,0,0,0,0,0,304991,306314,198889,13019,11128,8407,8599,6833,5987,1
124,20000,1,1,2,27,0,0,0,0,0,0,19115,19298,15630,1404,1130,600,861,313,0,0
125,20000,1,2,2,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,200000,1,3,2,52,0,0,0,0,0,0,110151,98951,104993,3568,3585,3602,3848,3669,3784,0
127,180000,1,1,1,36,0,0,0,0,0,0,163736,99278,95927,4655,2690,2067,2142,2217,1000,1
128,50000,1,2,1,51,0,0,0,0,0,0,3347,4503,7077,1000,1066,1300,1500,1200,134,1
129,60000,1,3,1,55,3,2,2,0,0,0,60521,57244,26547,2504,7,1200,1200,1100,1500,0
130,30000,2,1,2,23,1,0,0,0,0,0,4000,3508,5906,5645,3508,27,13771,5911,3024,0
131,240000,1,1,2,41,1,0,0,0,0,0,95,3301,1737,2622,3301,0,360,1737,924,0
132,420000,1,2,1,34,0,0,0,0,0,0,253454,229049,188108,9744,9553,7603,7830,7253,11326,0
133,330000,1,3,1,46,0,0,0,0,0,0,227389,229644,228203,8210,8095,8025,8175,8391,8200,0
134,30000,2,2,2,22,0,0,0,0,0,0,28452,26712,-780,2000,1400,0,500,0,1560,0
135,240000,1,2,1,34,0,0,0,2,2,2,10674,13681,13891,1500,1800,0,1000,0,327,0
136,150000,1,1,2,27,0,0,0,0,0,0,17444,22000,30229,2500,3000,3000,3000,3500,5000,0
137,210000,2,2,1,33,0,0,0,0,0,0,7166,8792,5708,1500,1500,1000,500,2000,546,0
138,50000,2,3,1,51,0,0,0,0,0,0,752,5880,0,300,5880,0,0,0,0,1
139,50000,1,1,2,24,0,0,0,0,0,0,50801,49586,18995,2360,1700,1000,900,870,2130,0
140,240000,1,1,2,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
141,180000,1,2,2,28,0,0,0,0,0,0,1832,832,416,0,416,332,500,3500,832,0
142,50000,1,2,2,23,1,2,2,2,0,0,10131,20583,18065,1000,10000,400,700,800,600,0
143,170000,1,2,2,29,0,0,0,0,0,0,12159,10000,15846,10000,10000,10000,9983,15863,10000,0
144,20000,1,1,2,29,0,0,0,0,0,0,1199,344,339,15586,344,2340,4702,339,330,0
145,50000,1,1,2,28,0,0,0,0,0,3,4999,7315,10138,1000,1500,2000,1583,1100,0,0
146,170000,2,2,2,27,0,0,0,0,0,0,19269,20852,9100,1661,1200,351,358,182,0,1
147,200000,1,1,2,34,1,2,0,0,0,0,197236,93069,59875,8000,5000,55500,5000,5000,8500,0
148,80000,2,2,1,23,1,2,3,2,0,0,9168,10205,12034,1650,0,0,379,2091,1,0
149,260000,2,1,1,60,1,0,0,0,0,0,-1100,21400,869,0,22500,0,969,1000,0,0
150,140000,1,2,1,32,0,0,0,0,2,0,86627,68336,55251,3455,3110,5000,0,2100,2602,0
151,80000,1,1,2,25,0,0,0,0,0,0,42444,43476,31826,30000,3000,6000,8000,2000,14000,0
152,350000,1,1,2,41,1,0,0,0,0,0,208,1000,0,2906,1000,630,0,0,0,0
153,280000,2,2,1,56,0,0,0,0,0,0,208775,132257,169311,8042,6700,5137,100000,7000,6321,0
154,30000,2,3,2,26,0,0,0,0,0,0,9014,11427,14206,1700,1500,1000,1500,1500,1500,0
155,140000,1,1,1,34,0,0,0,0,0,0,23944,32073,48699,5000,5000,11885,5000,3000,5504,0
156,200000,2,1,2,37,0,0,0,0,0,0,105420,89643,94031,4000,3250,3250,3500,3560,5000,0
157,200000,2,3,2,30,0,0,0,0,0,0,196031,189524,122324,7300,7108,7680,6200,5000,4500,0
158,210000,1,3,1,45,2,3,4,4,5,6,115785,129847,154105,10478,10478,11078,11078,11678,10478,1
159,50000,1,3,1,57,3,2,0,0,0,0,12854,13447,14083,0,1600,500,500,600,600,0
160,30000,1,1,2,41,2,2,2,2,2,0,24357,26718,28321,3500,0,2200,0,1200,1250,0
161,50000,1,2,2,27,2,0,0,0,0,2,390,780,540,390,780,216,864,0,390,0
162,290000,1,3,1,47,0,0,0,0,0,0,1234,396,423,396,396,792,0,423,369,0
163,250000,2,1,1,34,0,0,2,0,0,0,141223,151841,160220,17994,0,5469,5656,6811,3920,0
164,60000,2,2,1,46,0,0,0,0,0,0,21148,24908,27756,3000,1500,1500,1000,1500,1500,0
165,110000,2,1,2,27,0,0,0,0,0,0,101640,104855,77254,5500,3900,3000,2900,3000,2800,0
166,370000,1,1,2,50,0,0,0,0,0,0,6093,8204,13453,15383,8204,15413,4792,13453,4699,0
167,100000,1,2,1,27,0,2,2,0,0,0,102349,58824,-246,3166,0,1330,1398,12,50000,0
168,90000,2,2,1,35,0,0,0,0,0,2,72112,75526,88290,3500,3500,3652,10000,4000,0,0
169,50000,2,2,2,22,0,0,0,0,0,0,28040,29366,28806,1510,1442,982,1017,1277,567,0
170,270000,1,2,2,37,0,0,0,0,0,0,37695,30534,24641,5000,2000,3000,4000,3000,2000,0
171,300000,2,1,2,30,0,0,0,0,0,0,688,0,800,3288,0,4340,2672,800,746,0
172,50000,2,2,2,22,0,0,0,0,0,0,8567,11650,7725,15000,1000,149,0,5000,10000,0
173,50000,2,1,2,24,1,0,0,0,0,0,-709,-709,-3272,0,0,0,0,0,0,1
174,360000,1,1,2,29,1,0,0,0,0,0,0,77,0,0,77,0,0,0,0,0
175,130000,1,3,1,56,1,2,2,2,2,3,64617,67282,71345,3000,3000,3000,5500,0,0,1
176,80000,1,1,2,30,0,0,0,0,0,0,6187,600,5380,504,500,1000,500,3500,0,0
177,50000,1,2,2,30,1,2,0,0,0,2,48860,48363,22361,0,1500,1000,2000,0,2000,0
178,20000,2,2,2,22,0,0,0,0,0,0,16001,13221,14906,1212,1201,500,1500,1500,1000,0
179,80000,2,2,1,29,0,0,2,0,0,0,77883,80250,11486,5800,1000,600,400,1000,0,0
180,240000,1,1,2,37,0,0,2,0,0,0,12212,25331,1256,15000,0,2000,0,1256,65935,0
181,80000,2,3,2,35,0,0,0,0,0,0,49608,14873,17460,12500,6500,3000,2000,3000,2000,0
182,500000,2,1,1,47,0,0,0,0,0,0,56422,110340,70064,70010,30357,30000,20000,52183,20000,0
183,60000,2,2,1,24,0,0,0,0,0,0,58024,48839,19395,2500,1600,3000,1000,737,2000,1
184,20000,1,2,2,25,0,0,0,0,0,0,10642,13070,1620,1200,1593,601,135,1824,0,0
185,100000,2,2,1,38,1,2,0,0,2,0,14483,15323,16448,0,1600,1500,0,1000,1500,1
186,360000,2,1,2,32,1,0,0,0,0,0,2616,5287,16240,57087,5295,68454,13889,16250,38313,0
187,200000,2,3,2,47,2,2,2,2,2,2,199436,193936,189915,8214,7000,6800,7134,0,6836,1
188,130000,2,2,1,34,1,0,0,0,0,0,0,10270,14636,5396,5000,3500,501,1000,2000,0
189,20000,2,2,2,31,1,5,4,4,3,2,21703,21461,20487,0,1000,0,0,760,0,0
190,310000,1,1,2,32,0,0,0,0,0,0,59901,62102,43328,10020,6031,10057,5028,5060,4223,0
191,60000,2,1,2,27,2,0,0,0,2,0,19625,21669,22873,1342,1664,2000,0,900,846,1
192,180000,2,1,2,29,0,0,0,0,0,0,11386,0,17042,199,0,0,17227,341,5114,0
193,180000,2,1,2,24,0,0,2,0,0,0,14670,21282,0,37867,0,200,0,0,0,0
194,50000,1,2,1,36,0,0,0,0,0,0,47790,18250,658,2000,1000,2000,500,1000,20011,0
195,50000,2,1,2,24,1,2,2,2,2,2,36166,37680,40035,1900,1400,1700,1532,1600,0,1
196,150000,2,2,1,34,0,0,0,0,0,0,0,0,1500,0,0,116,0,1500,0,0
197,20000,2,1,2,22,0,0,0,0,0,0,18553,19065,19247,1500,1032,541,20000,693,1000,0
198,500000,2,1,1,34,0,0,0,0,0,0,412,2299,1151,138,2299,1251,1206,1151,15816,0
199,30000,2,3,2,22,1,2,2,0,0,0,29010,28122,0,1000,85,1714,104,0,0,1
200,180000,2,1,1,38,0,0,0,0,0,0,750,0,0,0,0,0,0,0,0,0
201,140000,1,1,2,31,0,0,2,0,0,2,27123,17985,10833,25000,0,3000,7800,0,2500,0
202,140000,2,1,2,26,0,0,0,0,0,0,13424,13001,487,10000,13001,5841,13506,487,7004,0
203,120000,1,2,2,26,0,0,0,0,0,0,107314,113736,122135,5000,5000,4152,5000,5000,5000,0
204,360000,2,2,1,48,0,0,0,0,0,0,226430,234192,146511,9100,7300,5800,5600,5600,4100,0
205,20000,1,3,1,43,0,0,0,0,0,0,227,20237,19337,22359,1305,1258,1459,3457,1700,0
206,100000,1,1,1,47,0,0,0,0,0,0,390,390,0,1473,390,390,390,0,2380,0
207,210000,2,2,1,41,0,0,0,0,0,0,3088,343,0,1586,343,3763,877,0,419,1
208,80000,2,2,2,24,0,0,0,0,0,0,81625,79599,49568,3200,3000,2038,2000,1800,1800,1
209,330000,2,1,1,50,0,0,0,0,0,0,8872,2854,1709,4345,2854,1702,0,1709,258,0
210,220000,1,1,2,24,0,0,0,0,0,0,105607,111520,85632,5000,5050,8303,0,85632,0,0
211,210000,2,1,1,38,1,0,0,0,0,0,0,250,1222,0,250,0,789,1222,9616,1
212,40000,2,3,1,43,0,0,0,0,0,0,38257,38103,31339,1700,1504,1200,1500,1500,1000,0
213,30000,1,2,2,39,0,0,0,2,0,0,28347,18388,8032,3036,2309,0,1000,2000,148,0
214,470000,1,2,2,27,2,2,2,2,0,0,296573,307843,309959,13000,11001,0,10484,10838,10367,0
215,30000,1,3,1,42,0,0,0,0,0,2,390,390,780,390,390,240,1470,0,0,0
216,240000,2,2,1,36,1,0,0,0,0,0,-946,-946,-946,0,0,0,0,0,0,1
217,80000,1,2,2,36,2,0,0,0,0,0,79278,78534,78245,3100,3500,3400,3000,3500,3000,0
218,110000,2,3,0,31,0,0,0,0,0,0,89989,79288,63208,4000,5000,3000,3000,3000,8954,0
219,310000,2,1,2,38,0,0,0,0,0,0,1424,126,0,4542,126,0,0,0,0,0
220,360000,2,1,1,40,2,2,2,0,0,0,105167,112157,120238,12000,0,5900,5000,4500,4700,1
221,330000,2,3,2,45,0,0,0,0,0,0,335196,335527,330121,12388,12378,12116,12450,12213,11678,0
222,300000,2,2,2,35,0,0,0,0,0,0,291619,205629,212508,12019,9006,17000,12000,9557,15000,0
223,320000,2,2,2,33,0,0,0,0,0,0,91653,108597,33263,10042,18832,2117,2076,5045,3754,0
224,50000,2,3,2,37,1,3,2,0,0,0,52626,49205,29957,0,24,1500,1000,1201,30592,1
225,170000,2,1,2,28,0,0,0,0,0,0,130370,128900,128839,6530,4860,22500,4820,4877,4962,0
226,350000,1,3,1,44,0,0,0,0,0,0,3265,1864,0,2686,1864,569,0,0,0,0
227,20000,1,2,1,37,0,0,0,0,0,0,16455,18902,19175,1609,3000,663,676,834,782,0
228,50000,1,2,2,23,2,0,0,0,0,0,49758,44116,18858,2401,2254,2004,704,707,1004,1
229,20000,2,3,2,24,1,2,0,0,0,0,19154,17233,0,0,1333,500,100,0,3200,0
230,50000,2,1,2,24,0,0,0,0,0,0,35084,30937,1308,2090,2002,1002,238,1011,389,0
231,20000,1,2,2,23,1,2,0,0,2,0,20235,16856,10104,0,1200,1000,0,1000,10000,1
232,50000,1,2,1,26,0,0,0,0,0,0,102800,0,46557,0,0,2624,45567,1747,2000,0
233,190000,1,2,2,34,2,0,0,0,2,2,129801,134379,150052,5000,5000,10000,0,12118,2769,1
234,60000,2,2,1,33,0,0,0,0,0,0,58203,20934,19421,1506,1298,1000,721,811,599,0
235,80000,1,1,2,35,0,0,0,0,0,0,7988,6848,19942,3983,6853,1719,1378,19942,2418,0
236,150000,2,2,2,27,0,0,0,0,0,0,127402,51547,29497,4500,1745,1566,1208,1077,2529,0
237,210000,2,1,2,31,0,0,0,0,0,0,1440,7422,2293,0,7422,893,6082,2293,3299,0
238,240000,2,3,1,50,0,0,0,0,0,0,234205,214642,214694,10116,9150,8008,8000,8009,7714,1
239,140000,2,2,3,41,0,0,0,0,0,0,19346,22940,16383,3000,2000,2198,1000,3000,2399,1
240,60000,2,1,2,28,1,2,2,0,0,0,21501,0,2285,0,0,0,0,2285,0,0
241,50000,1,1,2,39,0,0,0,0,0,0,47174,48630,15874,1800,2000,3000,2000,2000,2000,0
242,50000,2,2,2,27,0,0,0,0,0,0,26655,28676,29399,1800,1750,900,1200,1200,1100,0
243,180000,2,1,2,32,0,0,2,2,0,0,3139,2821,0,2821,0,0,2821,0,176,0
244,30000,2,1,2,40,0,0,2,2,2,2,142,139,79,355,120,0,0,60,60,0
245,20000,2,2,2,40,0,0,0,0,0,0,19816,20102,0,1601,2203,2114,0,0,0,0
246,250000,2,2,1,75,0,0,0,0,0,0,52874,1536,794,1631,1536,1010,5572,794,1184,0
247,100000,2,2,2,27,0,0,0,0,0,0,37767,30036,32904,1788,1799,1100,1150,2423,0,0
248,330000,1,1,2,25,0,0,0,0,2,0,46140,48139,25358,2504,4007,5056,74,1023,2566,0
249,50000,1,3,1,46,0,0,0,0,0,0,35713,16099,17484,1561,1268,587,611,1000,2000,0
250,50000,2,2,2,26,1,2,2,0,0,0,50867,48869,29998,1710,136,1206,2002,2005,3003,0
251,30000,1,2,2,28,0,0,0,0,0,0,29242,29155,0,5006,1244,851,955,0,0,0
252,140000,2,2,2,26,0,0,0,0,0,0,101551,104781,106828,5366,5087,3605,3894,3785,3304,1
253,160000,2,1,2,28,0,0,0,0,0,0,70243,28052,84426,7042,2000,1000,99669,12600,10000,0
254,400000,2,2,2,29,0,0,0,0,0,0,19532,1453,2486,3127,1469,4968,1905,2494,862,0
255,50000,1,2,1,25,0,0,0,0,0,0,27699,29341,28538,1565,1393,980,994,1024,886,0
256,140000,2,2,1,48,0,0,0,0,0,0,1154,862,21361,1233,1075,1355,1130,21361,1347,0
257,160000,2,2,1,33,0,0,0,0,0,0,8015,9624,2210,2453,9880,52572,1546,2210,0,0
258,100000,2,3,1,43,0,0,0,0,0,0,62170,0,0,0,0,0,0,0,0,0
259,220000,1,1,1,48,2,0,0,0,0,0,210380,201852,162402,10000,9020,6000,5500,6000,5500,1
260,510000,2,1,2,29,0,0,0,0,0,0,78331,107686,36739,40010,20094,5000,5001,25365,65000,0
261,50000,1,2,2,29,0,0,0,0,0,0,49276,32563,28309,1602,1400,3000,3130,1062,6318,0
262,160000,2,1,1,38,0,0,0,0,2,0,4473,5969,12652,4664,5969,18941,0,12652,1916,0
263,230000,2,1,2,37,0,0,0,0,0,0,2283,0,338,51315,0,0,299,338,0,0
264,80000,2,1,2,37,0,0,0,0,0,0,10115,5986,16872,258,5995,188,1644,16872,4000,0
265,150000,2,2,1,25,0,0,0,0,0,0,6156,0,316,0,0,316,316,316,316,0
